Zc,E0Tn,betaTn
-4078.27980462,247126.83702386,0.00010002
-4075.09199570,246753.07770512,0.00010000
-4069.43642781,257175.29330507,0.00010000
-4071.38818893,239129.57780056,0.00010000
-4068.19842308,248702.84924562,0.00010007
-4073.22356222,250342.72948657,0.00010820
-4078.32597360,251648.69525584,0.00010000
-4081.78924405,253311.74425063,0.00010000
-4087.39797049,255698.01539324,0.00010000
-4090.38076977,219744.93774179,0.00010000
-4093.46675600,248106.56263891,0.00010005
-4097.56948280,251451.45041612,0.00010000
-4096.67199053,244396.12497914,0.00010006
-4118.39044099,243211.24483174,0.00010000
-4104.29455612,250270.02554779,0.00010252
-4270.62404210,117843.14117529,0.00010000
-4240.33572015,121349.28108877,0.00010000
-4263.31285894,137171.25430452,0.00010000
-4496.97989588,52199.01577898,0.00010000
-4401.25581533,80734.16960182,0.00010000
-4513.25971498,39639.68554802,0.00010000
-4583.19706215,43635.00079854,0.00010000
-4638.48980647,41898.04741988,0.00010000
-4803.02935806,12135.96604828,0.03120907
-5179.05334550,912.58716360,0.18991709
-5799.02751444,616.41111494,0.18629425
